株F,493.40,550.50,491.20,499.60
株Q,342.30,402.90,321.00,338.10
株I,464.10,521.40,429.40,445.40
株A,517.10,578.00,483.00,495.20
株S,333.80,390.10,314.10,323.40
株Q,741.90,819.10,697.40,699.50
株V,742.40,795.30,692.70,710.20
株G,955.80,1012.40,905.90,914.00
株N,917.40,999.60,893.20,900.40
株Q,580.30,632.30,569.90,582.80
株X,395.20,492.50,382.80,386.10
株U,678.10,770.00,632.40,643.80
株V,492.60,591.00,481.60,487.00
株Q,602.40,665.30,553.40,562.10
株N,607.00,666.70,592.20,609.00
株D,652.10,703.70,606.20,622.80
株G,364.60,435.30,328.70,334.40
株B,392.60,448.40,384.00,388.70
株A,720.00,775.30,708.50,716.80
株I,711.80,811.70,701.00,711.50
株P,707.30,785.60,664.80,672.20
株E,354.80,407.70,323.90,335.00
株E,767.80,852.40,718.80,723.40
株G,571.30,630.00,542.10,548.90
株B,777.80,875.20,728.40,741.90
株E,639.10,716.80,624.80,629.60
株P,303.10,364.10,302.00,320.90
株O,916.10,1003.50,891.60,895.70
株P,715.20,790.00,702.80,705.20
株X,900.00,964.60,866.80,868.00
株K,695.40,760.70,672.00,677.90
株E,520.00,590.00,471.50,477.40
株J,487.40,549.50,454.50,464.70
株Y,435.50,523.60,392.20,407.80
株E,629.30,695.30,599.20,605.10
株B,738.10,826.20,709.90,728.10
株T,685.20,757.60,648.60,654.60
株N,587.90,679.70,563.90,578.60
株W,877.50,943.50,865.00,877.70
株N,578.00,667.10,538.90,544.20
株B,607.90,678.70,598.50,616.60
株F,417.50,482.40,392.40,399.20
株T,897.50,956.20,866.90,871.00
株R,576.00,647.20,543.20,563.20
株N,686.80,740.30,661.70,669.70
株V,730.80,810.10,689.30,691.20
株K,519.40,606.10,510.10,516.70
株Y,720.00,782.50,680.20,695.60
株Q,672.70,768.80,655.60,673.20
株M,858.30,938.40,819.90,833.90
株B,778.90,875.60,762.20,765.50
株I,762.60,832.40,733.70,741.60
株S,364.00,433.40,358.90,378.00
株S,846.60,911.00,807.10,822.70
株H,805.60,897.90,798.50,816.40
株M,816.80,901.50,811.80,817.80
株T,453.50,507.20,410.70,411.90
株Y,725.80,820.50,697.00,716.60
株Y,573.00,652.10,571.30,576.40
株K,393.90,480.50,375.80,389.80
株E,585.70,665.60,542.10,555.10
株O,708.40,795.90,697.20,710.80
株K,538.70,611.80,527.10,540.00
株B,648.70,725.40,633.20,635.10
株X,601.00,655.50,581.20,585.30
株X,541.50,603.20,513.00,532.50
株G,797.50,897.50,770.30,785.10
株K,463.50,515.40,457.40,458.90
株S,926.20,985.60,889.00,897.20
株B,850.50,901.00,805.70,822.80
株S,569.70,656.30,547.40,556.60
株O,666.20,740.10,647.70,665.00
株I,309.90,387.50,281.20,298.80
株F,330.80,383.60,292.50,300.10
株C,747.60,810.60,745.40,748.50
株I,369.00,460.50,343.00,348.90
株F,936.80,1033.40,928.20,948.10
株T,353.90,440.50,323.80,328.70
株T,818.40,912.40,810.90,821.80
株S,310.70,362.90,278.30,292.50
株J,312.90,406.60,311.30,323.70
株E,319.20,411.80,289.30,292.80
株X,913.60,975.00,870.10,881.60
株H,515.30,575.80,478.90,480.90
株Q,347.80,415.50,326.30,332.80
株I,697.40,754.50,687.50,695.70
株N,350.50,443.80,325.80,337.20
株N,528.00,615.00,482.30,484.20
株Q,776.90,849.00,732.00,742.00
株E,950.00,1044.80,935.40,939.60
株U,413.70,472.30,401.30,405.20
株Q,359.50,447.00,347.70,349.30
株U,716.50,803.10,686.00,689.50
株D,578.30,638.20,528.80,539.50
株H,725.30,805.60,719.00,725.30
株X,457.50,520.40,410.70,415.10
株P,944.60,1023.10,898.90,902.00
株H,429.80,481.00,399.30,406.00
株S,971.00,1041.10,931.10,936.10
株Y,403.50,471.60,371.70,384.90
株U,410.90,504.10,389.90,399.50
株W,367.30,420.60,324.60,329.50
株Y,693.10,777.80,677.60,689.30
株K,613.40,695.10,584.20,599.70
株L,962.30,1026.90,950.90,968.90
株B,347.90,441.30,303.10,317.80
株N,523.40,614.80,479.10,498.00
株A,764.00,851.70,719.90,725.20
株T,532.40,600.20,495.60,503.60
株V,842.50,923.30,829.80,849.50
株A,759.90,829.10,734.70,754.20
株C,979.30,1075.50,974.50,988.10
株F,868.60,919.80,847.20,853.70
株X,932.80,984.30,888.80,897.70
株Q,506.70,578.10,485.30,498.70
株C,919.20,995.30,909.60,911.00
株L,938.50,1037.30,893.30,898.10
株H,527.40,612.60,499.90,509.60
株N,498.10,557.60,494.20,502.80
株H,779.80,866.70,776.60,788.80
株J,489.40,544.40,450.80,469.20
株C,490.50,565.30,464.80,473.10
株D,861.70,939.70,850.80,860.10
株E,377.20,466.30,342.50,359.40
株J,493.40,545.90,455.30,460.90
株Y,600.30,656.70,569.20,580.40
株J,706.30,770.30,700.90,710.70
株I,311.40,376.50,282.20,290.30
株P,495.40,579.90,447.80,455.80
株L,925.90,1002.70,878.50,892.60
株J,851.30,905.80,809.70,822.00
株U,530.10,609.30,523.80,542.70
株K,368.30,454.70,362.90,382.50
株R,573.20,670.80,563.00,581.10
株S,938.10,1014.10,923.40,943.40
株U,866.30,955.00,821.40,835.30
株Y,365.80,454.60,329.40,333.00
株G,435.80,488.70,407.60,416.10
株X,522.90,574.40,518.40,525.90
株O,977.40,1040.00,944.60,949.90
株C,777.80,860.20,761.30,767.90
株I,611.70,663.70,572.70,576.70
株I,877.80,969.10,833.20,848.30
株H,378.60,434.70,359.40,375.30
株T,532.70,624.90,528.10,533.10
株N,823.50,917.00,778.60,787.40
株G,877.30,973.80,827.50,839.80
株L,757.50,841.60,710.20,712.40
株F,456.90,526.60,434.30,444.90
株O,465.40,524.90,455.90,465.40
株A,747.60,841.20,731.60,750.90
株Y,332.20,425.70,304.50,310.80
株I,737.40,806.60,721.10,736.50
株S,346.80,418.00,339.60,341.80
株P,447.60,504.30,439.70,454.20
株D,398.60,463.80,390.80,406.70
株Y,882.20,958.40,843.90,857.10
株I,960.10,1032.50,935.70,951.30
株H,417.60,479.70,389.60,392.40
株M,535.80,612.10,518.40,524.10
株H,495.80,567.70,455.00,464.00
株X,487.90,569.00,456.90,473.40
株O,716.00,769.40,683.40,693.10
株B,908.60,1006.00,868.00,871.00
株M,468.50,551.20,441.10,455.90
株T,751.40,820.90,729.30,741.70
株W,977.40,1037.10,933.60,939.90
株B,959.90,1041.50,914.10,916.00
株I,998.60,1051.40,987.80,994.50
株K,430.00,481.00,386.90,401.80
株J,800.90,854.80,786.10,798.70
株S,733.80,803.10,705.60,709.80
株A,433.60,501.80,405.40,418.10
株C,908.20,991.90,898.70,908.70
株B,904.00,990.50,888.00,898.30
株K,578.80,654.10,560.50,577.70
株H,732.10,795.60,722.40,737.50
株B,857.20,937.60,835.30,846.40
株K,901.40,980.60,865.10,877.70
株M,848.30,916.20,802.10,805.40
株O,393.40,468.30,388.80,393.90
株L,807.10,878.10,764.50,779.00
株X,959.00,1029.30,914.40,918.70
株W,898.70,950.30,851.20,855.20
株F,524.80,617.80,493.60,510.00
株K,308.10,371.00,283.40,302.60
株M,591.10,644.80,564.00,573.00
株D,432.90,532.90,411.80,419.00
株T,946.80,1007.60,901.50,915.40
株B,634.70,690.30,629.30,646.10
株E,754.10,811.40,711.70,727.80
株N,679.90,766.00,678.70,686.30
株S,692.60,756.80,679.80,683.50
株K,705.70,780.40,701.70,716.00
株H,841.50,935.00,795.80,810.10
株W,360.60,449.30,312.40,330.70
株S,532.80,623.30,519.40,538.80
株C,654.50,732.60,604.70,607.30
株M,652.60,739.90,644.70,660.60
株M,423.10,501.30,389.20,405.50
株P,809.90,908.70,783.30,801.00
株L,782.70,835.50,761.00,764.60
株M,423.10,507.80,412.80,431.60
株Y,893.10,954.40,873.10,892.30
株O,748.70,833.90,705.60,720.70
株W,419.00,495.40,414.50,422.70
株I,755.90,841.80,721.60,730.70
株H,541.90,599.70,501.90,503.20
株P,687.80,738.60,663.50,669.00
株T,709.20,760.40,703.90,721.30
株J,844.10,926.60,821.20,832.50
株K,607.10,681.00,588.40,601.70
株E,700.50,786.90,657.40,664.70
株E,340.30,412.00,310.30,329.90
株W,790.40,849.30,752.30,759.40
株G,943.00,1015.30,898.10,910.60
株U,850.70,926.20,843.70,855.00
株T,766.00,817.10,728.10,743.00
株S,459.50,558.50,447.90,452.50
株K,586.40,684.10,548.10,549.10
株I,947.30,1028.50,941.60,952.00
株V,717.90,776.00,703.70,717.40
株D,674.90,762.60,648.60,651.00
株Y,424.60,522.20,380.50,393.40
株H,708.00,766.10,688.10,694.80
