stock,open,low,high,close,timestamp
stockL,53214.83,50621.14,54825.24,52192.48,00:00:00.358
stockG,40786.65,40698.79,42301.02,42179.66,00:00:04.628
stockQ,54886.71,53803.54,56187.17,55875.62,00:00:19.030
stockL,34440.29,25391.32,42230.80,37965.60,00:00:29.763
stockU,53624.34,33529.74,55647.17,43549.72,00:00:42.528
stockD,32565.31,18204.68,52668.15,27109.01,00:00:54.876
stockT,42016.56,41743.43,46356.56,42315.02,00:01:03.835
stockP,46122.95,40782.44,46596.09,41809.16,00:01:08.006
stockJ,43755.97,42768.28,46046.02,43694.41,00:01:41.696
stockG,40566.14,35840.65,40953.54,36315.02,00:01:46.314
stockY,39141.85,36892.25,41880.61,41034.83,00:02:24.359
stockB,33226.22,26998.58,41051.98,34070.86,00:02:24.846
stockA,43301.36,37009.30,55658.81,54624.55,00:02:26.748
stockP,30589.81,23391.42,31523.88,23996.17,00:02:42.120
stockG,47816.17,18992.13,54678.66,33544.60,00:02:51.021
stockY,38261.25,37737.19,43571.98,43209.59,00:03:11.684
stockQ,63746.82,61173.20,63929.57,63297.48,00:03:13.817
stockM,57641.54,32476.26,58158.87,49942.10,00:03:24.689
stockP,22566.48,16745.42,28451.18,27138.64,00:03:42.410
stockD,33788.91,28257.32,34517.20,29797.03,00:03:44.432
stockD,30140.21,29459.19,31175.57,30041.10,00:03:56.352
stockY,40598.17,34436.17,42594.94,36343.33,00:03:56.947
stockN,26404.73,20821.69,42007.38,25155.02,00:04:14.556
stockC,43865.63,43205.13,44251.19,43976.63,00:04:29.921
stockB,24555.80,21547.51,37343.53,27766.86,00:04:45.060
stockD,56059.28,40300.22,57306.39,48138.11,00:05:19.038
stockK,27739.66,27723.92,28281.25,27836.93,00:05:22.980
stockJ,41539.99,40715.26,44103.91,42914.23,00:05:27.289
stockX,42017.13,38831.94,61620.35,40537.06,00:05:28.353
stockS,35007.40,30539.74,48761.87,40070.14,00:06:02.961
stockY,51430.82,50530.35,51568.64,51489.78,00:06:18.476
stockL,47098.40,15582.63,59957.03,50117.71,00:06:19.635
stockB,36665.48,35590.73,41842.67,36087.49,00:06:44.226
stockO,36337.94,35495.96,37952.00,36473.97,00:06:52.285
stockL,50372.01,46688.57,61325.59,56574.90,00:06:56.235
stockN,47141.98,44930.05,47905.00,47445.80,00:07:04.755
stockL,50906.36,46301.46,51874.67,51670.53,00:07:07.718
stockL,42389.79,33904.19,42425.97,34830.52,00:07:11.478
stockI,37322.55,32503.41,41860.72,40142.22,00:07:15.437
stockY,43611.58,35180.37,55234.80,51515.42,00:07:19.127
stockW,31741.80,29607.45,53481.90,32180.36,00:07:28.875
stockK,39116.98,27852.40,50609.26,33972.64,00:07:30.834
stockW,30911.81,30759.10,35870.45,32099.45,00:07:31.785
stockB,28966.33,28809.55,29006.52,28999.68,00:07:34.253
stockP,41036.84,40818.86,42793.34,42034.70,00:07:51.234
stockN,29967.53,25164.54,31113.57,25496.34,00:07:55.352
stockA,40492.80,40371.52,41351.95,41088.56,00:07:56.135
stockH,38398.53,35391.56,41963.93,35430.58,00:08:02.877
stockR,34957.59,26891.42,36527.55,29309.84,00:08:06.096
stockT,32625.67,30926.73,32958.85,31658.86,00:08:15.454
stockM,37211.22,27141.75,41963.95,36788.14,00:08:19.633
stockX,34938.90,29328.18,34962.85,31491.36,00:08:21.862
stockT,44164.25,42241.50,50478.20,48984.30,00:08:34.328
stockK,33424.80,33135.05,33672.06,33510.20,00:08:40.093
stockU,39283.27,30547.80,53770.08,37960.66,00:08:42.829
stockY,37514.55,31006.18,37705.45,37323.36,00:08:44.925
stockB,28873.23,27838.99,47238.81,33950.90,00:08:47.164
stockS,36993.09,23865.40,39119.91,29046.06,00:09:10.496
stockD,40632.11,37173.50,40828.89,38613.58,00:09:12.183
stockD,24562.99,20491.06,39780.74,38607.20,00:09:57.282
stockA,19552.83,14355.75,51405.34,35881.96,00:10:04.951
stockR,44601.27,34294.38,52157.48,36871.13,00:10:11.332
stockL,45264.03,34947.38,52312.12,40629.23,00:10:12.434
stockE,38059.37,27212.00,44310.46,35892.28,00:10:23.229
stockK,45968.64,25627.82,49819.64,28333.12,00:10:26.351
stockM,36833.43,32456.71,38923.23,37669.37,00:10:27.576
stockS,36842.08,29818.30,40929.77,33171.11,00:10:36.225
stockI,38941.45,38577.80,39847.79,38901.28,00:10:39.382
stockI,31478.08,30203.41,33862.11,32693.87,00:11:08.518
stockD,44314.41,37427.95,47776.36,41991.95,00:11:21.270
stockL,31714.68,25561.18,36912.74,31365.65,00:11:23.484
stockT,44269.59,11816.03,58366.60,56612.19,00:11:23.988
