stock,open,low,high,close
stockU,45374.47,43884.74,50710.58,50175.80
stockZ,41478.81,32704.56,46825.12,39806.02
stockO,35346.08,35267.28,37944.57,36652.91
stockJ,32535.63,18048.21,67047.45,64464.99
stockC,40326.79,23474.76,43032.70,30514.75
stockZ,43465.08,41548.96,55750.02,46689.53
stockU,47811.46,44148.58,52215.99,46748.21
stockF,34716.39,32007.36,43061.11,37656.70
stockG,33594.23,32053.54,34480.38,32496.61
stockF,55950.05,53386.35,63562.02,61895.19
stockI,50471.17,45941.44,51188.61,49741.49
stockZ,50219.41,30140.33,53982.69,39301.88
stockJ,44609.33,33294.86,49287.24,41048.40
stockV,28203.72,14768.44,45774.80,31224.47
stockE,30088.29,22204.88,35396.08,33737.90
stockZ,51062.68,46920.80,52172.32,48871.25
stockV,39408.42,37964.14,42269.99,38124.41
stockA,36453.70,34148.90,44636.19,35706.56
stockE,39203.20,26436.05,47722.70,41209.51
stockA,39870.92,31070.62,50525.38,37378.37
stockU,35672.84,26023.81,37084.02,33755.10
stockL,31551.36,27061.09,35358.15,31177.34
stockR,39126.00,37610.62,43222.35,38726.75
stockA,52138.82,33148.96,59994.17,48796.35
stockQ,35652.81,31175.82,36113.20,33194.00
stockT,31927.29,27308.33,40897.29,29378.52
stockI,37884.65,31163.31,39813.38,32982.30
stockH,34313.81,25476.28,36316.92,32087.94
stockH,45319.06,45182.85,46341.96,45533.41
stockV,40526.65,27014.30,43224.72,30908.73
stockZ,44239.66,44079.63,44248.03,44216.37
stockP,50562.25,42140.62,64555.25,56407.41
stockH,50956.03,43107.41,52363.71,50518.72
stockQ,35040.45,33558.47,40591.09,35000.89
stockI,26996.40,25126.67,29616.24,27543.17
stockJ,33067.42,28656.21,41495.33,35320.58
stockT,39837.02,31069.41,46909.06,38112.92
stockF,55552.70,33614.05,60343.24,40832.06
stockK,42213.99,41528.80,51087.82,42251.19
stockW,29989.83,27508.89,33917.85,30598.03
stockW,41018.49,35312.27,52807.08,52552.21
stockX,29603.77,28475.72,29721.69,29550.15
stockQ,40836.52,39788.31,40946.38,40265.59
stockG,31021.97,28241.12,45913.67,45745.68
stockO,35791.93,32527.08,41754.40,39028.68
stockX,50171.18,40658.52,57647.42,48542.81
stockJ,32779.38,26302.99,48180.04,31631.52
stockA,48947.36,47520.41,49144.82,48684.71
stockV,45510.39,35889.29,50024.37,37684.49
stockX,34496.87,33869.32,35284.72,34169.89
stockE,44548.11,42358.77,54229.65,43355.14
stockM,31244.70,31127.27,31469.21,31173.23
stockG,27793.35,27046.97,37586.63,33735.83
stockU,48175.82,43343.69,53433.47,47120.92
stockC,47611.93,46987.23,52845.03,51186.05
stockD,40111.87,31722.50,40837.00,31887.29
stockZ,41318.51,38597.10,49120.48,39556.30
stockR,39230.98,36928.39,40792.58,36932.20
stockG,34567.41,32001.76,58904.76,42562.93
stockS,36211.21,29413.52,47199.98,32557.11
stockD,36881.10,35094.83,45743.06,35228.49
stockM,48635.50,42156.92,57818.47,46843.86
stockD,35161.50,33211.12,38085.70,36530.76
stockM,51776.79,42861.02,52374.50,47268.66
stockT,39512.56,36882.62,54372.77,45410.12
stockD,34833.01,31420.76,41863.28,41366.70
stockP,35703.48,27700.09,38282.04,35717.18
stockU,37541.42,32039.58,48953.07,34460.47
stockN,36080.06,32934.11,37964.31,33404.05
stockM,33360.65,23714.41,39162.27,38381.50
stockQ,30931.30,11522.23,35059.25,15958.27
stockK,55138.48,53693.45,56910.06,56015.08
stockP,44094.22,31813.47,54109.24,42794.48
stockM,30485.08,29914.81,31089.63,30329.65
stockR,28746.34,24802.29,48562.44,48291.28
stockI,51695.22,29869.54,65397.15,45116.84
stockV,32534.00,27080.61,40394.44,39862.97
stockL,33446.77,31644.22,34450.98,34161.53
stockH,34160.94,25980.26,36849.47,26903.91
stockN,48017.00,25774.04,50832.97,43157.82
stockE,33339.70,11213.52,39512.66,36634.51
stockM,21211.66,16666.62,22643.63,19198.38
stockP,50428.66,48178.17,53332.04,49407.55
stockP,55112.15,52479.94,65115.68,65012.32
stockH,31227.91,30323.38,41923.79,40441.07
stockW,59359.28,45808.82,69420.20,49017.25
stockD,38332.04,37407.61,39681.99,38858.49
stockV,39826.94,34339.85,41307.22,39001.99
stockK,15647.79,13958.88,28708.46,23494.53
stockM,27390.30,24652.95,39694.85,27908.62
stockK,43961.41,35170.49,74719.84,50501.63
stockL,44192.31,38917.15,49528.84,48673.84
stockR,45110.87,33284.69,46283.75,39256.53
stockE,30567.17,30498.03,33033.09,32554.62
stockW,48843.35,23091.62,50884.78,27097.09
stockR,40365.49,31350.32,47585.33,47308.90
stockB,45718.57,42668.05,51586.49,51134.34
stockV,36790.67,25667.16,45268.72,31721.70
stockZ,43803.53,22293.29,45396.96,26069.30
stockT,37089.73,33378.83,39049.09,35336.58
stockJ,15933.90,15401.52,24326.58,20635.76
stockA,34110.28,32078.91,52175.33,49851.32
stockR,30974.36,26633.39,38461.05,37210.01
stockV,45324.38,44855.19,55884.74,54741.77
stockQ,28018.68,12012.72,36082.13,27431.55
stockC,48654.64,41090.21,48993.35,41942.62
stockP,40885.25,40174.87,51906.72,51482.31
stockI,41030.68,39555.89,43172.58,39668.73
stockO,35207.82,29294.67,56082.68,32221.66
stockO,58301.95,47910.15,66294.19,52061.78
stockL,31884.97,23737.61,34028.33,25875.35
stockY,37065.95,35856.09,37086.73,36109.59
stockR,37161.62,33113.40,41543.72,37776.73
stockK,38576.69,30093.31,40441.65,30407.69
stockP,50715.33,37934.34,51878.78,50661.26
stockN,40723.97,40223.63,41611.43,40976.49
stockI,37965.56,35528.87,39264.62,37364.86
stockJ,33029.07,20927.87,37904.94,23256.64
stockK,47967.80,46485.65,51201.29,48478.58
stockW,33806.10,23272.39,51038.47,38796.10
stockM,39402.11,34393.56,40702.54,35882.85
